ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC

Agency Name,State Name [District] Latest available year,State Name [District] 2016-17,Agency Name [District] 2016-17,Agency ID - NCES Assigned [District] Latest available year,Total Current Expenditures (TCURELSC) per Pupil (V33) [District Finance] 2016-17,Fall Membership (V33) [District Finance] 2016-17
VALLEY ACADEMY FOR CAREER AND TECHNOLOGY EDUCATION (79397),Arizona,ARIZONA,Valley Academy for Career and Technology Education,0400341,†,–
VALLEY CAREER AND TECHNICAL CENTER,Virginia,VIRGINIA,VALLEY VOCATIONAL TECH,5100008,†,†
VALLEY CENTER PUB SCH,Kansas,KANSAS,Valley Center Pub Sch,2012510,8386,2879
VALLEY CENTER-PAUMA UNIFIED,California,CALIFORNIA,Valley Center-Pauma Unified,0600069,12162,4069
VALLEY CENTRAL SCHOOL DISTRICT (MONTGOMERY),New York,NEW YORK,VALLEY CENTRAL SCHOOL DISTRICT (MONTGOMERY),3619680,21913,4362
VALLEY CITY 2,North Dakota,NORTH DAKOTA,VALLEY CITY 2,3818850,11796,1078
VALLEY COLLABORATIVE,MASSACHUSETTS,MASSACHUSETTS,Valley Collaborative,2500569,†,†
VALLEY COMM SCHOOL DISTRICT,Iowa,IOWA,Valley Comm School District,1928710,12532,412
VALLEY DISTRICT,Idaho,IDAHO,VALLEY DISTRICT,1603270,7828,586
VALLEY EDUC FOR EMPLOY SYSTEM,Illinois,ILLINOIS,Valley Educ for Employ System,1700278,†,†
VALLEY FALLS,Kansas,KANSAS,Valley Falls,2012540,12454,394
VALLEY GROVE SD,Pennsylvania,PENNSYLVANIA,Valley Grove SD,4224630,13209,881
VALLEY HEIGHTS,Kansas,KANSAS,Valley Heights,2012780,11890,447
VALLEY HOME JOINT ELEMENTARY,California,CALIFORNIA,Valley Home Joint Elementary,0640800,9583,175
VALLEY LOCAL,Ohio,OHIO,Valley Local,3904964,10435,1038
VALLEY MILLS ISD,Texas,TEXAS,VALLEY MILLS ISD,4843760,8923,624
VALLEY OF THE SUN WALDORF EDUCATION ASSOCIATION D (79957),Arizona,ARIZONA,Valley of the Sun Waldorf Education Association  dba Desert,0400366,8252,314
VALLEY PARK,Missouri,MISSOURI,VALLEY PARK,2930690,15414,751
VALLEY R-VI,Missouri,MISSOURI,VALLEY R-VI,2930720,10462,385
VALLEY ROP,California,CALIFORNIA,Valley ROP,0600097,†,†
VALLEY ROP JPA,California,CALIFORNIA,Valley ROP JPA,0601387,†,†
VALLEY SCHOOL DISTRICT,Washington,WASHINGTON,Valley School District,5309240,14202,610
VALLEY SPRINGS SCHOOL DISTRICT,Arkansas,ARKANSAS,VALLEY SPRINGS SCHOOL DISTRICT,0513350,8801,914
VALLEY STEM+ME2 ACADEMY,OHIO,OHIO,Valley STEM+ME2 Academy,3901565,7409,88
VALLEY STREAM 13 UNION FREE SCHOOL DISTRICT,New York,NEW YORK,VALLEY STREAM 13 UNION FREE SCHOOL DISTRICT,3629430,21375,2068
VALLEY STREAM 24 UNION FREE SCHOOL DISTRICT,New York,NEW YORK,VALLEY STREAM 24 UNION FREE SCHOOL DISTRICT,3629460,23289,1124
VALLEY STREAM 30 UNION FREE SCHOOL DISTRICT,New York,NEW YORK,VALLEY STREAM 30 UNION FREE SCHOOL DISTRICT,3629490,21767,1514
VALLEY STREAM CENTRAL HIGH SCHOOL DISTRICT,New York,NEW YORK,VALLEY STREAM CENTRAL HIGH SCHOOL DISTRICT,3629520,22548,4571
VALLEY UNION HIGH SCHOOL DISTRICT (4190),Arizona,ARIZONA,Valley Union High School District,0408910,22280,75
VALLEY VIEW CUSD 365U,Illinois,ILLINOIS,Valley View CUSD 365U,1740070,17812,16830
VALLEY VIEW ELEM,Montana,MONTANA,Valley View Elem,3027150,10063,32
VALLEY VIEW ISD,Texas,TEXAS,VALLEY VIEW ISD,4843860,8358,786
VALLEY VIEW ISD,Texas,TEXAS,VALLEY VIEW ISD,4843800,10382,4534
VALLEY VIEW LOCAL,Ohio,OHIO,Valley View Local,3904874,10846,1832
VALLEY VIEW SCHOOL DISTRICT,Arkansas,ARKANSAS,VALLEY VIEW SCHOOL DISTRICT,0513380,8692,2843
VALLEY VIEW SD,Pennsylvania,PENNSYLVANIA,Valley View SD,4224650,11514,2456
VALLEY-EDINBURG 118,North Dakota,NORTH DAKOTA,VALLEY-EDINBURG 118,3800397,16803,203
VALLIANT,Oklahoma,OKLAHOMA,VALLIANT,4030870,8172,880
VALLIVUE SCHOOL DISTRICT,Idaho,IDAHO,VALLIVUE SCHOOL DISTRICT,1600600,6937,8798
VALMEYER CUSD 3,Illinois,ILLINOIS,Valmeyer CUSD 3,1740080,11130,471
VALOR PREPARATORY ACADEMY,North Carolina,NORTH CAROLINA,Cabarrus Charter Academy,3700347,7587,1432
VALPARAISO COMMUNITY SCHOOLS,Indiana,INDIANA,Valparaiso Community Schools,1811970,8228,6372
VAN ALSTYNE ISD,Texas,TEXAS,VAN ALSTYNE ISD,4843890,7869,1589
VAN BUREN COUNTY,Tennessee,TENNESSEE,Van Buren County,4704320,10306,742
VAN BUREN COUNTY COMM SCHOOL DISTRICT,Iowa,IOWA,Van Buren Comm School District,1928980,11766,649
VAN BUREN ISD,Michigan,MICHIGAN,Van Buren ISD,2680985,†,–
VAN BUREN LOCAL,Ohio,OHIO,Van Buren Local,3910001,11604,1061
VAN BUREN PUBLIC SCHOOLS,Michigan,MICHIGAN,Van Buren Public Schools,2634560,10506,4680
VAN BUREN R-I,Missouri,MISSOURI,VAN BUREN R-I,2930750,10755,523
VAN BUREN SCHOOL DISTRICT,Arkansas,ARKANSAS,VAN BUREN SCHOOL DISTRICT,0513410,8823,5897
VAN DYKE PUBLIC SCHOOLS,Michigan,MICHIGAN,Van Dyke Public Schools,2634680,11954,2591
VAN HORNESVILLE-OWEN D YOUNG CENTRAL SCHOOL DISTRICT,New York,NEW YORK,VAN HORNESVILLE-OWEN D YOUNG CENTRAL SCHOOL DISTRICT,3622200,22695,190
VAN ISD,Texas,TEXAS,VAN ISD,4843920,8991,2352
VAN METER COMM SCHOOL DISTRICT,Iowa,IOWA,Van Meter Comm School District,1929010,12384,622
VAN VLECK ISD,Texas,TEXAS,VAN VLECK ISD,4843950,10933,1046
VAN WERT CITY,Ohio,OHIO,Van Wert City,3910023,10914,2057
VAN-FAR R-I,Missouri,MISSOURI,VAN-FAR R-I,2930780,9788,580
VANCE CHARTER SCHOOL,North Carolina,NORTH CAROLINA,Vance Charter School,3700096,8085,645
VANCE COUNTY SCHOOLS,North Carolina,NORTH CAROLINA,Vance County Schools,3704650,10465,6391
VANCEBORO PUBLIC SCHOOLS,Maine,MAINE,Vanceboro Public Schools,2313080,5077,13
VANCOUVER SCHOOL DISTRICT,Washington,WASHINGTON,Vancouver School District,5309270,11487,23831
VANDALIA CUSD 203,Illinois,ILLINOIS,Vandalia CUSD 203,1740140,12897,1490
VANDALIA-BUTLER CITY,Ohio,OHIO,Vandalia-Butler City,3904495,10855,2945
VANDERBILT AREA SCHOOLS,Michigan,MICHIGAN,Vanderbilt Area Schools,2634620,13155,103
VANDERBILT CHARTER ACADEMY,Michigan,MICHIGAN,Vanderbilt Charter Academy,2600115,10349,456
VANDERCOOK LAKE PUBLIC SCHOOLS,Michigan,MICHIGAN,Vandercook Lake Public Schools,2634650,10333,1206
VANGUARD ACADEMY,Texas,TEXAS,VANGUARD ACADEMY,4800195,8362,2883
VANGUARD ACADEMY,UTAH,UTAH,VANGUARD ACADEMY,4900183,5181,381
VANGUARD CHARTER ACADEMY,Michigan,MICHIGAN,Vanguard Charter Academy,2600098,8734,763
VANGUARD-SENTINEL CAREER & TECHNOLOGY CENTERS,Ohio,OHIO,Vanguard-Sentinel Career & Technology Centers,3905145,†,0
VANLUE LOCAL,Ohio,OHIO,Vanlue Local,3904747,12484,221
VANOSS,Oklahoma,OKLAHOMA,VANOSS,4030960,8207,571
VANTAGE CAREER CENTER,Ohio,OHIO,Vantage Career Center,3905167,†,0
VARNUM,Oklahoma,OKLAHOMA,VARNUM,4030990,8138,290
VASHON ISLAND SCHOOL DISTRICT,Washington,WASHINGTON,Vashon Island School District,5309300,12234,1628
VASSALBORO PUBLIC SCHOOLS,Maine,MAINE,Vassalboro Public Schools,2313110,9681,615
VASSAR PUBLIC SCHOOLS,Michigan,MICHIGAN,Vassar Public Schools,2634710,10189,1166
VAUGHN,New Mexico,NEW MEXICO,VAUGHN MUNICIPAL SCHOOLS,3500001,31471,70
VAUGHN ELEM,Montana,MONTANA,Vaughn Elem,3005850,8639,158
VEAZIE PUBLIC SCHOOLS,Maine,MAINE,Veazie Public Schools,2313140,11307,231
VECTOR SCHOOL DISTRICT INC. (90317),Arizona,ARIZONA,Vector School District  Inc.,0400792,9815,205
VEGA ISD,Texas,TEXAS,VEGA ISD,4843980,11493,375
VELMA-ALMA,Oklahoma,OKLAHOMA,VELMA-ALMA,4031020,8927,463
VELVA 1,North Dakota,NORTH DAKOTA,VELVA 1,3817040,11617,467
VENANGO TECHNOLOGY CENTER,Pennsylvania,PENNSYLVANIA,Venango Technology Center,4280430,†,†
VENICE CUSD 3,Illinois,ILLINOIS,Venice CUSD 3,1740200,50806,62
VENTNOR CITY SCHOOL DISTRICT,New Jersey,NEW JERSEY,Ventnor City School District,3416680,22501,707
VENTURA COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,Ventura County Office of Education,0691047,42074,3182
VENTURA COUNTY ROP,California,CALIFORNIA,Ventura County ROP,0600148,†,0
VENTURA COUNTY SCHOOLS BUSINESS SERVICES JPA,California,CALIFORNIA,Ventura County Schools Business Services JPA,0601354,†,†
VENTURA UNIFIED,California,CALIFORNIA,Ventura Unified,0640980,11262,16981
VENTURE ACADEMY,Utah,UTAH,VENTURE ACADEMY,4900133,6129,777
VENTURE ACADEMY,Minnesota,MINNESOTA,VENTURE ACADEMY,2700384,17553,257
VENUS ISD,Texas,TEXAS,VENUS ISD,4844010,8777,2080
VERDEN,Oklahoma,OKLAHOMA,VERDEN,4031080,8841,264
VERDIGRIS,Oklahoma,OKLAHOMA,VERDIGRIS,4031110,6774,1302
VERGENNES SCHOOL DISTRICT,Vermont,VERMONT,Vergennes School District,5099961,†,†
VERGENNES UESD #44,Vermont,VERMONT,Vergennes UESD #44,5008250,9993,283
VERGENNES UHSD #5,Vermont,VERMONT,Vergennes UHSD #5,5008280,13373,459
VERIBEST ISD,Texas,TEXAS,VERIBEST ISD,4844040,9688,272
VERITAS ACADEMY,Indiana,INDIANA,Veritas Academy,1800015,12122,90
VERITAS COMMUNITY SCHOOL,NORTH CAROLINA,NORTH CAROLINA,VERITAS Community School,3700393,9469,147
VERITAS PREPARATORY ACADEMY (80992),Arizona,ARIZONA,Veritas Preparatory Academy,0400655,9225,699
VERITAS PREPARATORY CHARTER SCHOOL (DISTRICT),Massachusetts,MASSACHUSETTS,Veritas Preparatory Charter School (District),2500536,16022,313
VERMILION ASSOC FOR SPEC EDUC,Illinois,ILLINOIS,Vermilion Assoc for Spec Educ,1740220,†,†
VERMILION COUNTRY SCHOOL,Minnesota,MINNESOTA,VERMILION COUNTRY SCHOOL,2700372,14442,43
VERMILION LOCAL,Ohio,OHIO,Vermilion Local,3904682,12276,1815
VERMILION PARISH,Louisiana,LOUISIANA,Vermilion Parish,2201800,9483,9620
VERMILION ROE,Illinois,ILLINOIS,Vermilion ROE,1700211,†,†
VERMILION VOC ED DELIVER SYSTEM,Illinois,ILLINOIS,Vermilion Voc Ed Deliver System,1700304,†,†
VERMILLION,Kansas,KANSAS,Vermillion,2004560,9677,622
VERMILLION SCHOOL DISTRICT 13-1,South Dakota,SOUTH DAKOTA,Vermillion School District 13-1,4674370,9641,1243
VERNDALE PUBLIC SCHOOL DISTRICT,Minnesota,MINNESOTA,VERNDALE PUBLIC SCHOOL DISTRICT,2740920,9872,547
VERNON ELEMENTARY DISTRICT (4162),Arizona,ARIZONA,Vernon Elementary District,0400022,13041,147
VERNON ISD,Texas,TEXAS,VERNON ISD,4844110,9313,2042
VERNON PARISH,Louisiana,LOUISIANA,Vernon Parish,2201830,10307,8882
VERNON SCHOOL DISTRICT,Connecticut,CONNECTICUT,VERNON SCHOOL DISTRICT,0904680,19165,3195
VERNON SCHOOL DISTRICT,Vermont,VERMONT,Vernon School District,5008310,13985,198
VERNON TOWNSHIP SCHOOL DISTRICT,New Jersey,NEW JERSEY,Vernon Township School District,3416710,22395,3187
VERNONIA SD 47J,Oregon,OREGON,Vernonia SD 47J,4112930,12699,549
VERONA AREA SCHOOL DISTRICT,Wisconsin,WISCONSIN,Verona Area School District,5515330,11384,5430
VERONA PUBLIC SCHOOL DISTRICT,New Jersey,NEW JERSEY,Verona Public School District,3416740,15739,2218
VERONA R-VII,Missouri,MISSOURI,VERONA R-VII,2930810,9396,412
VERONA TOWNSHIP S/D #1F,Michigan,MICHIGAN,Verona Township S/D #1F,2634860,14167,18
VERSAILLES EXEMPTED VILLAGE,Ohio,OHIO,Versailles Exempted Village,3904563,9906,1433
VERTUS CHARTER SCHOOL,NEW YORK,NEW YORK,VERTUS CHARTER SCHOOL,3601117,†,251
VESTABURG COMMUNITY SCHOOLS,Michigan,MICHIGAN,Vestaburg Community Schools,2634920,10483,576
VESTAL CENTRAL SCHOOL DISTRICT,New York,NEW YORK,VESTAL CENTRAL SCHOOL DISTRICT,3629610,19650,3373
VESTAVIA HILLS CITY,Alabama,ALABAMA,Vestavia Hills City,0103430,10949,7150
VIAN,Oklahoma,OKLAHOMA,VIAN,4031140,8066,919
VIBORG-HURLEY SCHOOL DISTRICT 60-6,South Dakota,SOUTH DAKOTA,Viborg-Hurley School District 60-6,4674520,9241,377
VICI,Oklahoma,OKLAHOMA,VICI,4031170,10797,325
VICKSBURG COMMUNITY SCHOOLS,Michigan,MICHIGAN,Vicksburg Community Schools,2634950,9789,2674
VICKSBURG WARREN SCHOOL DIST,Mississippi,MISSISSIPPI,VICKSBURG WARREN SCHOOL DIST,2804470,8976,8311
VICTOR CENTRAL SCHOOL DISTRICT,New York,NEW YORK,VICTOR CENTRAL SCHOOL DISTRICT,3629640,13785,4427
VICTOR ELEMENTARY,California,CALIFORNIA,Victor Elementary,0641040,10528,12751
VICTOR K-12 SCHOOLS,Montana,MONTANA,Victor K-12 Schools,3027270,11064,296
VICTOR VALLEY UNION HIGH,California,CALIFORNIA,Victor Valley Union High,0636972,8767,14043
VICTORIA,Kansas,KANSAS,Victoria,2012600,10878,288
VICTORIA ISD,Texas,TEXAS,VICTORIA ISD,4844150,8972,14378
VICTORIOUS COMMUNITY DEVELOPMENT,North Carolina,NORTH CAROLINA,VICTORIOUS COMMUNITY DEVELOPMENT,3700170,†,†
VICTORY CHARTER SCHOOL INC.,Idaho,IDAHO,VICTORY CHARTER SCHOOL INC.,1600003,5693,400
VICTORY COLLEGE PREP,Indiana,INDIANA,Indpls Lighthouse Charter School,1800051,8645,902
VICTORY HIGH SCHOOL INC. (4358),Arizona,ARIZONA,Victory High School  Inc.,0400067,6273,33
VICTORY SCHOOL DISTRICT,Vermont,VERMONT,Victory School District,5008370,†,†
VIDA CS,Pennsylvania,PENNSYLVANIA,Vida Charter School,4200814,12343,245
VIDA ELEM,Montana,MONTANA,Vida Elem,3027340,11000,28
VIDALIA CITY,Georgia,GEORGIA,Vidalia City,1305340,9592,2534
VIDOR ISD,Texas,TEXAS,VIDOR ISD,4844160,8849,4818
VIENNA HSD 133,Illinois,ILLINOIS,Vienna HSD 133,1740290,11570,363
VIENNA SD 55,Illinois,ILLINOIS,Vienna SD 55,1740260,10388,436
VIGO COUNTY SCHOOL CORP,Indiana,INDIANA,Vigo County School Corp,1812090,9493,14811
VILAS SCHOOL DISTRICT RE-5,Colorado,COLORADO,Vilas School District Re-5,0806990,21762,42
VILLA GROVE CUSD 302,Illinois,ILLINOIS,Villa Grove CUSD 302,1740320,10113,680
VILLA MONTESSORI CHARTER SCHOOL (4339),Arizona,ARIZONA,Villa Montessori Charter School,0400054,10986,493
VILLAGE GREEN VIRTUAL,Rhode Island,RHODE ISLAND,Village Green Virtual,4400025,13925,228
VILLAGE PREPARATORY SCHOOL CLIFFS,Ohio,OHIO,Village Preparatory School,3901368,11781,421
VILLAGE PREPARATORY SCHOOL WILLARD,OHIO,OHIO,Village Preparatory School Willard,3901581,17912,68
VILLAGE PREPARATORY SCHOOL WOODLAND HILLS,Ohio,OHIO,Village Preparatory School:: Woodland Hills Campus,3901505,11503,439
VILLAGE TECH SCHOOLS,Texas,TEXAS,VILLAGE TECH SCHOOLS,4801436,6991,823
VILLISCA COMM SCHOOL DISTRICT,Iowa,IOWA,Villisca Comm School District,1929280,11090,324
VILONIA SCHOOL DISTRICT,Arkansas,ARKANSAS,VILONIA SCHOOL DISTRICT,0513530,9107,3255
VINCENNES COMMUNITY SCHOOL CORP,Indiana,INDIANA,Vincennes Community School Corp,1812120,9384,2810
VINELAND ELEMENTARY,California,CALIFORNIA,Vineland Elementary,0641130,11712,726
VINELAND PUBLIC CHARTER SCHOOL,New Jersey,NEW JERSEY,Vineland Public Charter School,3400729,10803,402
VINELAND PUBLIC SCHOOL DISTRICT,New Jersey,NEW JERSEY,Vineland Public School District,3416800,17387,10840
VINITA,Oklahoma,OKLAHOMA,VINITA,4031290,7758,1551
VINTON COUNTY LOCAL,Ohio,OHIO,Vinton County Local,3905039,12754,2070
VINTON-SHELLSBURG COMM SCHOOL DISTRICT,Iowa,IOWA,Vinton-Shellsburg Comm School District,1929310,10953,1584
VIOLA SCHOOL DISTRICT,Arkansas,ARKANSAS,VIOLA SCHOOL DISTRICT,0513560,11253,388
VIRGINIA BEACH CITY PUBLIC SCHOOLS,Virginia,VIRGINIA,VA BEACH CITY PBLC SCHS,5103840,11211,69085
VIRGINIA CUSD 64,Illinois,ILLINOIS,Virginia CUSD 64,1740410,14068,296
VIRGINIA PUBLIC SCHOOL DISTRICT,Minnesota,MINNESOTA,VIRGINIA PUBLIC SCHOOL DISTRICT,2741040,12201,1684
VIRGINIA SCHOOL FOR THE DEAF AND BLIND-STAUNTON,Virginia,VIRGINIA,VSDB-STAUNTON,5100058,†,93
VIROQUA AREA SCHOOL DISTRICT,Wisconsin,WISCONSIN,Viroqua Area School District,5515360,11175,1170
VIRTUAL COMMUNITY SCHOOL OF OHIO,Ohio,OHIO,Virtual Community School Of Ohio,3900217,10517,683
VIRTUAL LEARNING ACADEMY CHARTER SCHOOL,New Hampshire,NEW HAMPSHIRE,Virtual Learning Academy Charter School,3303271,†,0
VIRTUAL LEARNING ACADEMY OF ST. CLAIR COUNTY,Michigan,MICHIGAN,Virtual Learning Academy of St. Clair County,2600968,7438,137
VISALIA UNIFIED,California,CALIFORNIA,Visalia Unified,0641160,10379,28932
VISION ACADEMY,INDIANA,INDIANA,Vision Academy,1800146,8130,439
VISION ACADEMY,LOUISIANA,LOUISIANA,Vision Academy,2200232,9239,180
VISION ACADEMY CS,PENNSYLVANIA,PENNSYLVANIA,Vision Academy Charter School,4200885,11376,237
VISION CHARTER SCHOOL INC.,Idaho,IDAHO,VISION CHARTER SCHOOL INC.,1600141,5759,697
VISION CHARTER SCHOOL INC. (4430),Arizona,ARIZONA,Vision Charter School  Inc.,0400160,8405,37
VISIONS UNLIMITED ACADEMY INC. (79671),Arizona,ARIZONA,Visions Unlimited Academy  Inc.,0400299,†,0
VISTA CHARTER ACADEMY,Michigan,MICHIGAN,Vista Charter Academy,2600097,10150,718
VISTA CHARTER SCHOOL (79907),Arizona,ARIZONA,Vista Charter School,0400391,8933,15
VISTA COLLEGE PREPARATORY INC. (91948),Arizona,ARIZONA,Vista College Preparatory  Inc.,0400887,9711,239
VISTA DEL FUTURO CHARTER SCHOOL,Texas,TEXAS,VISTA DEL FUTURO CHARTER SCHOOL,4801394,8334,353
VISTA DEL MAR UNION,California,CALIFORNIA,Vista del Mar Union,0641220,25643,98
VISTA MEADOWS ACADEMY,Michigan,MICHIGAN,Vista Meadows Academy,2600951,10616,99
VISTA SCHOOL,Utah,UTAH,VISTA AT ENTRADA SCHOOL OF PERFORMING ARTS AND TECHNOLOGY,4900141,5112,877
VISTA UNIFIED,California,CALIFORNIA,Vista Unified,0641190,10657,25149
VOICE CHARTER SCHOOL OF NEW YORK,New York,NEW YORK,VOICE CHARTER SCHOOL OF NEW YORK,3600957,†,665
VOICES FOR INTERNATIONAL BUSINESS & EDUCATION,Louisiana,LOUISIANA,Voices for International Business & Education,2200156,11044,567
VOLUNTOWN SCHOOL DISTRICT,Connecticut,CONNECTICUT,VOLUNTOWN SCHOOL DISTRICT,0904710,21516,279
VOLUSIA,Florida,FLORIDA,VOLUSIA,1201920,8365,63028
VOORHEES TOWNSHIP SCHOOL DISTRICT,New Jersey,NEW JERSEY,VOORHEES TOWNSHIP SCHOOL DISTRICT,3416830,17786,2947
VOORHEESVILLE CENTRAL SCHOOL DISTRICT,New York,NEW YORK,VOORHEESVILLE CENTRAL SCHOOL DISTRICT,3629670,18070,1194
VOYAGE ACADEMY,Utah,UTAH,VOYAGE ACADEMY,4900160,5081,533
VOYAGER ACADEMY,North Carolina,NORTH CAROLINA,Voyager Academy,3700139,9110,1348
VOYAGEUR ACADEMY,Michigan,MICHIGAN,Voyageur Academy,2600227,8320,1195
VOYAGEURS EXPEDITIONARY,Minnesota,MINNESOTA,VOYAGEURS EXPEDITIONARY,2700346,13333,105
VYSEHRAD ISD,Texas,TEXAS,VYSEHRAD ISD,4844250,9478,113
W HARVEY-DIXMOOR PSD 147,Illinois,ILLINOIS,W Harvey-Dixmoor PSD 147,1718480,17266,1166
W-A-Y ACADEMY,Michigan,MICHIGAN,W-A-Y Academy,2601023,10885,375
WA-NEE COMMUNITY SCHOOLS,Indiana,INDIANA,Wa-Nee Community Schools,1812240,9556,2849
WABASH & OHIO VALLEY SP ED DIST,Illinois,ILLINOIS,Wabash & Ohio Valley Sp Ed Dist,1740480,†,†
WABASH CITY SCHOOLS,Indiana,INDIANA,Wabash City Schools,1812150,9378,1486
WABASH CUSD 348,Illinois,ILLINOIS,Wabash CUSD 348,1740470,8471,1538
WABASH RIVER CTE CENTER,Indiana,INDIANA,Parke-Vermillion Ed & Trng Inter,1800079,†,†
WABASH VALLEY EDUCATION CENTER,Indiana,INDIANA,Wabash Valley Education Center,1800090,†,†
WABASHA-KELLOGG SCHOOL DISTRICT,Minnesota,MINNESOTA,WABASHA-KELLOGG PUBLIC SCHOOL DIST.,2741060,12426,556
WABASSO PUBLIC SCHOOL DISTRICT,Minnesota,MINNESOTA,WABASSO PUBLIC SCHOOL DISTRICT,2741430,11934,381
WABAUNSEE,Kansas,KANSAS,Wabaunsee,2003240,12827,446
WABENO AREA SCHOOL DISTRICT,Wisconsin,WISCONSIN,Wabeno Area School District,5515390,15489,403
WACHUSETT,Massachusetts,MASSACHUSETTS,Wachusett,2511880,12663,7358
WACO CHARTER SCHOOL,Texas,TEXAS,WACO CHARTER SCHOOL,4800024,10576,205
WACO COMM SCHOOL DISTRICT,Iowa,IOWA,Waco Comm School District,1929490,9768,488
WACO ISD,Texas,TEXAS,WACO ISD,4844280,10349,15081
WACONDA,Kansas,KANSAS,Waconda,2004470,11301,329
WACONIA PUBLIC SCHOOL DISTRICT,Minnesota,MINNESOTA,WACONIA PUBLIC SCHOOL DISTRICT,2741460,10647,3989
WADENA-DEER CREEK SCHOOL DISTRICT,Minnesota,MINNESOTA,WADENA-DEER CREEK SCHOOL DISTRICT,2700022,11203,1015
WADSWORTH CITY,Ohio,OHIO,Wadsworth City,3910029,9145,4807
WAELDER ISD,Texas,TEXAS,WAELDER ISD,4844310,11196,311
WAGNER COMMUNITY SCHOOL DISTRICT 11-4,South Dakota,SOUTH DAKOTA,Wagner Community School District 11-4,4675420,10883,990
WAGON MOUND,New Mexico,NEW MEXICO,WAGON MOUND PUBLIC SCHOOLS,3502730,35182,66
WAGONER,Oklahoma,OKLAHOMA,WAGONER,4031350,7558,2346
WAHKIAKUM SCHOOL DISTRICT,Washington,WASHINGTON,Wahkiakum School District,5309330,12313,441
WAHLUKE SCHOOL DISTRICT,Washington,WASHINGTON,Wahluke School District,5309360,11224,2471
WAHOO PUBLIC SCHOOLS,Nebraska,NEBRASKA,WAHOO PUBLIC SCHOOLS,3178210,11603,1024
WAHPETON 37,North Dakota,NORTH DAKOTA,WAHPETON 37,3819020,11696,1224
WAHPETON SPECIAL ED UNIT,North Dakota,NORTH DAKOTA,WAHPETON SPECIAL ED UNIT,3880570,†,†
WAINSCOTT COMMON SCHOOL DISTRICT,New York,NEW YORK,WAINSCOTT COMMON SCHOOL DISTRICT,3629760,53444,27
WAINWRIGHT,Oklahoma,OKLAHOMA,WAINWRIGHT,4031380,9699,93
WAITE PUBLIC SCHOOLS,Maine,MAINE,Waite Public Schools,2313200,†,†
WAITS RIVER UNION HIGH DISTRICT #36,Vermont,VERMONT,Waits River Valley USD #36,5008242,11025,364
WAITSBURG SCHOOL DISTRICT,Washington,WASHINGTON,Waitsburg School District,5309390,13806,299
WAITSFIELD SCHOOL DISTRICT,Vermont,VERMONT,Waitsfield School District,5008400,13279,140
WAKE COUNTY SCHOOLS,North Carolina,NORTH CAROLINA,Wake County Schools,3704720,8597,160467
WAKE FOREST CHARTER ACADEMY,North Carolina,NORTH CAROLINA,Wake Forest Charter Academy,3700364,7686,679
WAKEFIELD,Massachusetts,MASSACHUSETTS,Wakefield,2511910,14836,3574
WAKEFIELD PUBLIC SCHOOLS,Nebraska,NEBRASKA,WAKEFIELD PUBLIC SCHOOLS,3178240,12645,485
WAKEFIELD SAU OFFICE,New Hampshire,NEW HAMPSHIRE,Wakefield SAU Office,3300013,†,†
WAKEFIELD SCHOOL DISTRICT,New Hampshire,NEW HAMPSHIRE,Wakefield School District,3306780,10878,621
WAKEFIELD-MARENISCO SCHOOL DISTRICT,Michigan,MICHIGAN,Wakefield-Marenisco School District,2635010,10141,297
WAKISHA CS,Pennsylvania,PENNSYLVANIA,Wakisha CS,4200072,†,†
WAKULLA,Florida,FLORIDA,WAKULLA,1201950,8227,5178
WALATOWA CHARTER HIGH,New Mexico,NEW MEXICO,WALATOWA CHARTER HIGH,3500158,18421,57
WALCOTT ISD,Texas,TEXAS,WALCOTT ISD,4844370,11612,139
WALDEN GREEN MONTESSORI,Michigan,MICHIGAN,Walden Green Montessori,2600112,7571,184
WALDEN SCHOOL DISTRICT,Vermont,VERMONT,Walden School District,5008430,9111,144
WALDEN SCHOOL OF LIBERAL ARTS,Utah,UTAH,WALDEN SCHOOL OF LIBERAL ARTS,4900061,6744,438
WALDO-REGION 7,Maine,MAINE,Waldo-Region 7,2313210,†,†
WALDRON AREA SCHOOLS,Michigan,MICHIGAN,Waldron Area Schools,2635040,14127,205
WALDRON SCHOOL DISTRICT,Arkansas,ARKANSAS,WALDRON SCHOOL DISTRICT,0513680,9752,1627
WALDWICK SCHOOL DISTRICT,New Jersey,NEW JERSEY,Waldwick School District,3416860,18513,1598
WALES,Massachusetts,MASSACHUSETTS,Wales,2511940,13543,164
WALKER CHARTER ACADEMY,Michigan,MICHIGAN,Walker Charter Academy,2600149,8761,719
WALKER COUNTY,Alabama,ALABAMA,Walker County,0103450,9554,7723
WALKER COUNTY,Georgia,GEORGIA,Walker County,1305370,10612,8943
WALKER-HACKENSACK-AKELEY SCHL. DIST,Minnesota,MINNESOTA,WALKER-HACKENSACK-AKELEY SCHL. DIST,2702910,13404,738
WALKERVILLE PUBLIC SCHOOLS,Michigan,MICHIGAN,Walkerville Public Schools,2635130,12391,274
WALL ISD,Texas,TEXAS,WALL ISD,4844410,11241,1115
WALL SCHOOL DISTRICT 51-5,South Dakota,SOUTH DAKOTA,Wall School District 51-5,4675660,12547,245
